open,close,low,high,vol00,sdate
27125,27233,27125,27482,14306.62,051012
27196,27366,27160,27464,14405.26,051013
27437,27490,26634,27597,15268.28,051014
27437,27482,27348,27525,10036.52,051017
27525,27445,27418,27597,11542.79,051018
27320,27712,27301,27758,11788.24,051019
27793,27142,27080,27793,19614.59,051020
27391,26973,26901,27391,15261.54,051021
26946,27196,26928,27196,10509.46,051024
27214,27024,26821,27214,13634.19,051025
26955,26686,26686,27043,15095.67,051026
26747,26590,26572,26784,32178.46,051027
26634,26989,26634,26997,12066.21,051028
27169,27118,27043,27233,13885.22,051031
27169,27033,26946,27169,14498.29,051101
26928,27033,26894,27125,13324.84,051102
26322,27206,26322,27391,20048.36,051103
27196,27348,27196,27375,5692.4,051104
27482,27399,27241,27482,5703.6,051107
27348,27339,27310,27399,6455.64,051108
27366,27366,27250,27445,3677.25,051109
27384,27722,27375,27741,16517.91,051110
27741,27731,27534,27775,18509.52,051111
27775,27543,27490,27775,3327.56,051114
27543,27686,27543,27838,5061.41,051115
27766,27634,27562,27793,3678.36,051116
27704,27775,27597,27810,4451.7,051117
27928,27893,27775,27945,21948.07,051118
27973,27945,27785,27973,5766.36,051121
27928,27785,27089,27973,7672.8,051122
27838,27856,27741,27893,8052.74,051123
27865,27893,27838,27928,1291.13,051125
27919,27597,27562,27919,9652.11,051128
27722,27625,27607,27801,5499.65,051129
27640,27445,27445,27712,6123.91,051130
27659,27722,27597,27766,5471.59,051201
27659,27819,27588,27838,6566.59,051202
27819,27874,27749,27883,31897.14,051205
27909,27819,27793,28016,8060.57,051206
27793,27704,27625,27801,9944.61,051207
27677,27801,27677,27928,3797.2,051208
27801,27838,27766,27909,5520.92,051209
27928,27848,27616,27964,8441.66,051212
27801,28150,27801,28195,18761.7,051213
28222,28231,28159,28382,34046.74,051214
28425,28311,28241,28425,6380.55,051215
28392,28284,28284,28417,5618.46,051216
28515,28533,28507,28820,11039.6,051219
28606,28498,28463,28623,4574.98,051220
28891,28589,28533,28891,5258.64,051221
28740,28774,28597,28829,7011.53,051222
28872,28811,28757,28882,8313.89,051223
28998,28580,28561,28998,4848.45,051227
